brain | PerformOS | the AI workforce
crew-core-brand-context | brand context | ready to work · replaces a brand strategist's onboarding and discovery workshop · $2,000-5,000 per branding engagement, or $150-250/hr consultant time. Click for the full dossier.
crew-core-context-restore | context restore | WORKED THIS MONTH · replaces the morning catch-up a project coordinator runs to work out where every job was left · part of a $75-90k/yr coordinator role, or $40-60/hr admin time. Click for the full dossier.
crew-core-context-save | context save | WORKED THIS MONTH · replaces the written handover an office manager or departing contractor would prepare · $300-800 per handover document outsourced, or $40-60/hr admin time. Click for the full dossier.
crew-core-guard-boundary | guard boundary | ready to work · replaces a project manager watching that contractors stay inside the agreed scope · part of a $90-110k/yr project manager role. Click for the full dossier.
crew-core-idea-pressure-tester | idea pressure tester | ready to work · replaces a strategy consultant's feasibility study before you commit to building · $3,000-10,000 per study outsourced, or $200-350/hr consultant time. Click for the full dossier.
crew-core-plan-reviewer | plan reviewer | ready to work · replaces a senior consultant reviewing the plan before work starts · $1,000-3,000 per plan review outsourced, or $150-300/hr consultant time. Click for the full dossier.
crew-core-quality-checker | quality checker | WORKED THIS MONTH · replaces a freelance QA reviewer or proofing editor checking work before it ships · $200-500 per document reviewed outsourced, or $60-100/hr. Click for the full dossier.
crew-core-using-crew | using crew | ready to work · replaces an office manager who knows exactly who handles what · part of a $70-90k/yr office or operations manager role. Click for the full dossier.
crew-sales-audit-deck | audit deck | ready to work · replaces a presentation designer plus a senior salesperson's afternoon building the deck · $500-1,500 per deck outsourced, or $100-150/hr design time. Click for the full dossier.
crew-sales-crm-cleanup | crm cleanup | ready to work · replaces a contract CRM administrator or offshore data cleaner · $1,000-3,000 per cleanup project outsourced, or $30-50/hr admin time. Click for the full dossier.
crew-sales-follow-up-sequence | follow up sequence | ready to work · replaces a freelance sales copywriter writing your chase and nurture sequences · $300-800 per sequence outsourced, or $100-150/hr copywriter time. Click for the full dossier.
crew-sales-lead-research | lead research | ready to work · replaces a junior SDR's research hours · $65-85k/yr role, or $30-45/hr outsourced researchers. Click for the full dossier.
crew-sales-outreach-draft | outreach draft | ready to work · replaces a cold outreach copywriter or agency doing first-touch messages · $100-180/hr freelance, or roughly $50-150 per message set from an agency. Click for the full dossier.
crew-sales-pipeline-review | pipeline review | ready to work · replaces the weekly pipeline review a sales manager would run · part of a $120-160k/yr sales manager role. Click for the full dossier.
crew-sales-proposal-builder | proposal builder | ready to work · replaces a bid or proposal writer · $500-1,500 per proposal outsourced, or $90-130/hr. Click for the full dossier.
crew-sales-prospect-brief | prospect brief | ready to work · replaces a sales assistant's pre-call prep · $35-50/hr of assistant time, an hour or two before every call. Click for the full dossier.
crew-marketing-brand-voice-check | brand voice check | ready to work · replaces a freelance copy editor or brand consultant doing voice reviews · $90-150/hr consultant time, or $150-400 per review outsourced. Click for the full dossier.
crew-marketing-campaign-plan | campaign plan | ready to work · replaces a marketing consultant or agency strategist building the campaign plan · $2,000-6,000 per campaign plan from an agency, or $120-200/hr consultant time. Click for the full dossier.
crew-marketing-carousel-campaign | carousel campaign | WORKED THIS MONTH · replaces a social ads agency or freelance designer producing Meta carousel creative · $1,500-4,000 per creative kit outsourced, on top of any agency retainer. Click for the full dossier.
crew-marketing-content-repurpose | content repurpose | ready to work · replaces a content assistant or repurposing service turning one piece into many · $40-70/hr assistant time, or $300-800 per source piece outsourced. Click for the full dossier.
crew-marketing-email-campaign-builder | email campaign builder | ready to work · replaces an email marketing freelancer or agency writing launch sequences · $800-3,000 per sequence outsourced, or part of a $75-95k/yr marketing hire. Click for the full dossier.
crew-marketing-landing-page-review | landing page review | ready to work · replaces a conversion consultant or CRO agency auditing your page · $500-2,000 per audit outsourced, or $150-250/hr consultant time. Click for the full dossier.
crew-marketing-seo-page-builder | seo page builder | ready to work · replaces an SEO agency or content writer producing search-optimised pages · $300-800 per page outsourced, or a $1,000-3,000/month SEO retainer. Click for the full dossier.
crew-marketing-social-post-pack | social post pack | ready to work · replaces a social media manager or agency running your accounts · $1,000-2,500/month outsourced, or part of a $65-85k/yr social media hire. Click for the full dossier.
crew-ops-automation-opportunity-review | automation opportunity review | ready to work · replaces an automation consultant scoping what your business should automate first · $150-250/hr consultant time, often sold as a $3,000-8,000 discovery engagement. Click for the full dossier.
crew-ops-operations-dashboard-plan | operations dashboard plan | ready to work · replaces a BI consultant or analyst scoping a dashboard build · $120-180/hr consultant time, with scoping engagements commonly $2,000-5,000. Click for the full dossier.
crew-ops-process-map | process map | ready to work · replaces a process improvement consultant mapping how work really flows · $150-250/hr consultant time, or $2,000-5,000 per mapped process. Click for the full dossier.
crew-ops-recurring-task-automation | recurring task automation | ready to work · replaces an automation specialist or ops hire designing repeatable workflows · $120-200/hr specialist time, or part of an $85-110k/yr operations role. Click for the full dossier.
crew-ops-workflow-improvement | workflow improvement | ready to work · replaces a lean or operations consultant reviewing how work gets done · $150-250/hr consultant time, or a $1,500-2,500 day rate. Click for the full dossier.
crew-hr-employee-communication-draft | employee communication draft | ready to work · replaces an HR consultant or internal comms writer drafting staff announcements · $120-200/hr consultant time, or a slice of a $90-110k/yr comms role. Click for the full dossier.
crew-hr-interview-guide | interview guide | ready to work · replaces an external recruiter or HR consultant building structured interview kits · $500-1,500 per role outsourced, or $120-200/hr HR consultant time. Click for the full dossier.
crew-hr-performance-conversation-prep | performance conversation prep | ready to work · replaces an HR consultant coaching a manager before a difficult performance conversation · $150-300 per conversation of consultant prep time, or $120-200/hr. Click for the full dossier.
crew-hr-policy-summary | policy summary | ready to work · replaces an HR consultant translating long policies into plain English for staff · $300-800 per policy outsourced, or $120-200/hr consultant time. Click for the full dossier.
crew-hr-role-profile-builder | role profile builder | ready to work · replaces a recruiter or HR consultant writing position descriptions · $300-900 per role outsourced, or $120-200/hr consultant time. Click for the full dossier.
crew-finance-admin-automation | admin automation | ready to work · replaces an operations consultant scoping which finance admin to automate · $1,000-3,000 per scoping engagement, or $150-250/hr consultant time. Click for the full dossier.
crew-finance-cashflow-brief | cashflow brief | ready to work · replaces a bookkeeper's monthly cash reporting or part of a virtual CFO retainer · $300-800 per month of bookkeeper reporting time, or a slice of a $1,500-3,000/month virtual CFO retainer. Click for the f
crew-finance-expense-review | expense review | ready to work · replaces a bookkeeper's expense-checking hours · a few hours a month at $60-90/hr bookkeeping rates. Click for the full dossier.
crew-finance-finance-dashboard-plan | finance dashboard plan | ready to work · replaces a consultant or virtual CFO scoping a finance dashboard build · $1,500-5,000 per scoping engagement outsourced. Click for the full dossier.
crew-finance-invoice-workflow | invoice workflow | ready to work · replaces a bookkeeper or operations consultant untangling the invoicing process · $1,000-3,000 per process review outsourced, or $60-90/hr bookkeeping time. Click for the full dossier.
crew-finance-monthly-summary | monthly summary | ready to work · replaces a bookkeeper's month-end summary or part of an accountant's management reporting · $300-800 per month outsourced, on top of compliance accounting. Click for the full dossier.
crew-support-escalation-review | escalation review | ready to work · replaces a support team lead's escalation triage · part of a $75-95k/yr team lead role. Click for the full dossier.
crew-support-faq-builder | faq builder | ready to work · replaces a technical writer or senior support agent building FAQ content · $500-2,000 per FAQ set outsourced, or $80-120/hr freelance writing. Click for the full dossier.
crew-support-feedback-summary | feedback summary | ready to work · replaces an analyst or research agency summarising customer feedback · $1,000-4,000 per feedback study outsourced. Click for the full dossier.
crew-support-help-document-generator | help document generator | ready to work · replaces a technical writer producing customer help articles · $150-400 per article outsourced, or $80-120/hr freelance. Click for the full dossier.
crew-support-reply-builder | reply builder | ready to work · replaces a customer support officer's reply-writing hours · part of a $55-70k/yr support role, or $30-45/hr outsourced support. Click for the full dossier.
crew-support-ticket-triage | ticket triage | ready to work · replaces a support coordinator sorting the inbound queue · part of a $55-70k/yr support role's daily hours. Click for the full dossier.
crew-docs-client-playbook-builder | client playbook builder | ready to work · replaces a freelance copywriter or client services manager writing your welcome and process documents · $800-2,500 per playbook outsourced, or $120-180/hr freelance writing time. Click for the full dossie
crew-docs-compliance-review-check | compliance review check | ready to work · replaces a compliance consultant's document review hours · $1,000-3,000 per document review outsourced, or $150-300/hr consultant time. Click for the full dossier.
crew-docs-handover-document-writer | handover document writer | ready to work · replaces a departing staff member's paid handover fortnight, or a consultant hired to document a role · $1,500-5,000 per role documented externally, or weeks of paid handover time. Click for the full doss
crew-docs-meeting-notes-to-actions | meeting notes to actions | ready to work · replaces a minute-taker, or the admin hours of an executive assistant · part of a $70-85k/yr EA role, or $60-100 per meeting for outsourced minute-taking. Click for the full dossier.
crew-docs-policy-document-generator | policy document generator | ready to work · replaces an external HR or workplace relations consultant drafting policies · $500-2,000 per policy outsourced, or $150-250/hr consultant time. Click for the full dossier.
crew-docs-research-notebooklm | research notebooklm | HAS WORKED FOR YOU · replaces a research assistant or junior analyst's reading and summarising hours · $35-50/hr research assistance, or days of your own reading time each month. Click for the full dossier.
crew-docs-sop-builder | sop builder | ready to work · replaces an operations consultant, or the weeks a manager spends writing procedures · $300-1,500 per SOP outsourced, or $120-200/hr process consultant time. Click for the full dossier.
crew-docs-training-guide-creator | training guide creator | ready to work · replaces a freelance instructional designer or external training provider building session guides · $2,000-6,000 per course built externally, or $80-120/hr instructional design time. Click for the full do
crew-training-assessment-designer | assessment designer | WORKED THIS MONTH · replaces an instructional designer's assessment-writing hours or a training provider's test development service · $500-1,500 per assessment outsourced, or $80-120/hr instructional design time. Click f
crew-training-coaching-conversation-guide | coaching conversation guide | ready to work · replaces an external coach or leadership facilitator preparing your managers · $250-500 per coaching session outsourced, or $150-250/hr leadership consultant time. Click for the full dossier.
crew-training-facilitator-guide-creator | facilitator guide creator | WORKED THIS MONTH · replaces a freelance instructional designer building delivery guides · $1,500-4,000 per session guide outsourced, or $80-120/hr design time. Click for the full dossier.
crew-training-learner-workbook-builder | learner workbook builder | WORKED THIS MONTH · replaces a training materials designer or a training provider's printed materials service · $800-2,500 per workbook outsourced, or $80-120/hr materials design time. Click for the full dossier.
crew-training-module-outline-builder | module outline builder | WORKED THIS MONTH · replaces a learning and development consultant scoping course structure · $1,000-3,000 per module design outsourced, or part of a $95-115k/yr L&D role. Click for the full dossier.
crew-training-needs-analyser | needs analyser | ready to work · replaces a learning and development consultant's training needs analysis engagement · $3,000-8,000 per needs analysis outsourced, or $150-250/hr consultant time. Click for the full dossier.
crew-training-onboarding-programme-builder | onboarding programme builder | ready to work · replaces an HR consultant designing onboarding, or the ad-hoc weeks a manager loses to each new starter · $2,000-6,000 per onboarding programme outsourced, or $130-180/hr HR consultant time. Click for the
crew-training-skill-gap-mapper | skill gap mapper | ready to work · replaces a capability assessment from an HR or change consultant · $4,000-10,000 per capability review outsourced, or $150-250/hr consultant time. Click for the full dossier.
crew-web-app-builder | app builder | ready to work · replaces a freelance automation developer or integration consultant · $90-140/hr contractor time, or $3,000-10,000 per build outsourced. Click for the full dossier.
crew-web-booking-site-builder | booking site builder | ready to work · replaces a local web designer building sites for trades, salons, and clinics · $2,000-5,000 per site outsourced, plus edit fees after launch. Click for the full dossier.
crew-web-cinematic-build | cinematic build | ready to work · replaces a creative web agency's design and motion team · $8,000-25,000 per project at agency rates. Click for the full dossier.
crew-web-fly-through-builder | fly through builder | ready to work · replaces a video production house plus a specialist web developer · $10,000-30,000 quoted as a combined film and build job. Click for the full dossier.
crew-web-landing-page-builder | landing page builder | ready to work · replaces a freelance landing page designer and copywriter · $800-2,500 per page outsourced. Click for the full dossier.
crew-web-lead-dashboard-builder | lead dashboard builder | ready to work · replaces a research VA or analyst compiling lead lists and reports · $40-70/hr contractor time, often $500-1,500 per list and report. Click for the full dossier.
crew-web-page-builder | page builder | HAS WORKED FOR YOU · replaces a small web design studio building full business websites · $3,000-8,000 per site outsourced, plus $500-900/yr in typical care plans. Click for the full dossier.
crew-web-product-film | product film | ready to work · replaces a product video studio plus a landing page developer · $8,000-30,000 for a filmed product page at studio rates. Click for the full dossier.
crew-web-real-estate-immersive | real estate immersive | ready to work · replaces a property videographer plus a custom microsite developer · $1,500-5,000 per listing for video and a one-off microsite. Click for the full dossier.
crew-web-scrollytelling | scrollytelling | ready to work · replaces a digital agency's interactive storytelling team · $10,000-40,000 for interactive scroll pieces at agency rates. Click for the full dossier.
crew-web-slide-deck-builder | slide deck builder | WORKED THIS MONTH · replaces a freelance presentation designer · $500-1,500 per deck outsourced, or $80-120/hr. Click for the full dossier.
crew-web-slide-deck-mobile | slide deck mobile | ready to work · replaces a designer producing phone-ready proposals and story decks · $300-900 per proposal or story deck outsourced. Click for the full dossier.
